"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","pprofessional","TimeFrame","GeoVintage","Source","Location"
"Census Tract","06067007023","CA","06067007023","=""06067007023""","1.24","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007024","CA","06067007024","=""06067007024""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007025","CA","06067007025","=""06067007025""","5.34","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007026","CA","06067007026","=""06067007026""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007027","CA","06067007027","=""06067007027""","3.03","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007028","CA","06067007028","=""06067007028""","2.66","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007101","CA","06067007101","=""06067007101""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007103","CA","06067007103","=""06067007103""","1.81","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007105","CA","06067007105","=""06067007105""","2.72","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007106","CA","06067007106","=""06067007106""","3.08","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007107","CA","06067007107","=""06067007107""","2.97","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007108","CA","06067007108","=""06067007108""","3.32","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007109","CA","06067007109","=""06067007109""","1.11","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007110","CA","06067007110","=""06067007110""","3.86","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007111","CA","06067007111","=""06067007111""","1.81","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007202","CA","06067007202","=""06067007202""","0.43","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007204","CA","06067007204","=""06067007204""","0.50","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007206","CA","06067007206","=""06067007206""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007207","CA","06067007207","=""06067007207""","0.06","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007208","CA","06067007208","=""06067007208""","1.05","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007209","CA","06067007209","=""06067007209""","0.63","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007301","CA","06067007301","=""06067007301""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007402","CA","06067007402","=""06067007402""","0.32","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007403","CA","06067007403","=""06067007403""","1.78","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007413","CA","06067007413","=""06067007413""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007414","CA","06067007414","=""06067007414""","0.26","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007415","CA","06067007415","=""06067007415""","0.53","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007416","CA","06067007416","=""06067007416""","0.49","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007417","CA","06067007417","=""06067007417""","0.47","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007422","CA","06067007422","=""06067007422""","0.34","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007423","CA","06067007423","=""06067007423""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007424","CA","06067007424","=""06067007424""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007426","CA","06067007426","=""06067007426""","1.06","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007427","CA","06067007427","=""06067007427""","2.16","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007428","CA","06067007428","=""06067007428""","1.02","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007429","CA","06067007429","=""06067007429""","0.32","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007430","CA","06067007430","=""06067007430""","0.76","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007431","CA","06067007431","=""06067007431""","1.29","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007432","CA","06067007432","=""06067007432""","0.16","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007434","CA","06067007434","=""06067007434""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007435","CA","06067007435","=""06067007435""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007436","CA","06067007436","=""06067007436""","4.01","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007437","CA","06067007437","=""06067007437""","0.70","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007438","CA","06067007438","=""06067007438""","2.24","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007439","CA","06067007439","=""06067007439""","2.89","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007501","CA","06067007501","=""06067007501""","1.77","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007503","CA","06067007503","=""06067007503""","0.48","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007504","CA","06067007504","=""06067007504""","3.14","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007602","CA","06067007602","=""06067007602""","1.74","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007603","CA","06067007603","=""06067007603""","4.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007604","CA","06067007604","=""06067007604""","2.70","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007701","CA","06067007701","=""06067007701""","1.05","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007702","CA","06067007702","=""06067007702""","8.10","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007801","CA","06067007801","=""06067007801""","2.86","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007802","CA","06067007802","=""06067007802""","4.85","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007903","CA","06067007903","=""06067007903""","1.42","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007904","CA","06067007904","=""06067007904""","4.08","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007905","CA","06067007905","=""06067007905""","1.44","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007906","CA","06067007906","=""06067007906""","3.32","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008005","CA","06067008005","=""06067008005""","5.47","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008006","CA","06067008006","=""06067008006""","6.15","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008007","CA","06067008007","=""06067008007""","1.81","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008008","CA","06067008008","=""06067008008""","1.16","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008009","CA","06067008009","=""06067008009""","4.36","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008010","CA","06067008010","=""06067008010""","3.29","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008111","CA","06067008111","=""06067008111""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008113","CA","06067008113","=""06067008113""","0.68","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008117","CA","06067008117","=""06067008117""","3.38","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008119","CA","06067008119","=""06067008119""","1.09","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008120","CA","06067008120","=""06067008120""","4.32","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008122","CA","06067008122","=""06067008122""","1.67","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008124","CA","06067008124","=""06067008124""","1.81","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008125","CA","06067008125","=""06067008125""","3.12","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008127","CA","06067008127","=""06067008127""","0.61","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008128","CA","06067008128","=""06067008128""","0.52","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008129","CA","06067008129","=""06067008129""","0.56","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008130","CA","06067008130","=""06067008130""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008131","CA","06067008131","=""06067008131""","2.01","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008132","CA","06067008132","=""06067008132""","0.26","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008133","CA","06067008133","=""06067008133""","0.71","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008134","CA","06067008134","=""06067008134""","0.29","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008135","CA","06067008135","=""06067008135""","4.12","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008136","CA","06067008136","=""06067008136""","0.93","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008137","CA","06067008137","=""06067008137""","0.39","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008138","CA","06067008138","=""06067008138""","1.11","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008139","CA","06067008139","=""06067008139""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008140","CA","06067008140","=""06067008140""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008141","CA","06067008141","=""06067008141""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008142","CA","06067008142","=""06067008142""","1.96","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008143","CA","06067008143","=""06067008143""","3.84","2018-2022","2022","Census","Sacramento (County, 2022)"
