"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","p_crd_ghlth","TimeFrame","GeoVintage","Source","Location"
"Census Tract","06067004202","CA","06067004202","=""06067004202""","24.0","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067004203","CA","06067004203","=""06067004203""","24.6","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067004300","CA","06067004300","=""06067004300""","23.5","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067004401","CA","06067004401","=""06067004401""","26.9","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067004402","CA","06067004402","=""06067004402""","32.3","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067004501","CA","06067004501","=""06067004501""","31.8","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067004502","CA","06067004502","=""06067004502""","28.6","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067004601","CA","06067004601","=""06067004601""","28.7","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067004602","CA","06067004602","=""06067004602""","32.8","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067004701","CA","06067004701","=""06067004701""","28.1","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067004702","CA","06067004702","=""06067004702""","26.6","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067004801","CA","06067004801","=""06067004801""","22.6","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067004802","CA","06067004802","=""06067004802""","25.4","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067004903","CA","06067004903","=""06067004903""","23.6","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067004904","CA","06067004904","=""06067004904""","20.6","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067004905","CA","06067004905","=""06067004905""","23.2","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067004906","CA","06067004906","=""06067004906""","22.9","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005001","CA","06067005001","=""06067005001""","25.2","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005002","CA","06067005002","=""06067005002""","30.9","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005101","CA","06067005101","=""06067005101""","26.6","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005102","CA","06067005102","=""06067005102""","21.5","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
