"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","p_crd_mhlth","TimeFrame","GeoVintage","Source","Location"
"Census Tract","06067004202","CA","06067004202","=""06067004202""","17.8","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067004203","CA","06067004203","=""06067004203""","20.7","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067004300","CA","06067004300","=""06067004300""","20.1","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067004401","CA","06067004401","=""06067004401""","20.1","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067004402","CA","06067004402","=""06067004402""","22.4","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067004501","CA","06067004501","=""06067004501""","22.3","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067004502","CA","06067004502","=""06067004502""","21.3","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067004601","CA","06067004601","=""06067004601""","21.4","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067004602","CA","06067004602","=""06067004602""","23.2","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067004701","CA","06067004701","=""06067004701""","21.0","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067004702","CA","06067004702","=""06067004702""","21.2","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067004801","CA","06067004801","=""06067004801""","17.2","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067004802","CA","06067004802","=""06067004802""","19.9","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067004903","CA","06067004903","=""06067004903""","19.9","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067004904","CA","06067004904","=""06067004904""","17.5","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067004905","CA","06067004905","=""06067004905""","18.3","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067004906","CA","06067004906","=""06067004906""","18.6","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005001","CA","06067005001","=""06067005001""","18.8","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067005002","CA","06067005002","=""06067005002""","20.9","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
