"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","p_crd_depression","TimeFrame","GeoVintage","Source","Location"
"Census Tract","06067000100","CA","06067000100","=""06067000100""","18.1","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067000200","CA","06067000200","=""06067000200""","18.8","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067000300","CA","06067000300","=""06067000300""","18.0","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067000400","CA","06067000400","=""06067000400""","20.9","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067000500","CA","06067000500","=""06067000500""","21.4","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067000600","CA","06067000600","=""06067000600""","20.9","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067000700","CA","06067000700","=""06067000700""","20.3","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067000800","CA","06067000800","=""06067000800""","17.4","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067001101","CA","06067001101","=""06067001101""","20.3","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067001200","CA","06067001200","=""06067001200""","19.6","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067001300","CA","06067001300","=""06067001300""","20.9","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067001400","CA","06067001400","=""06067001400""","20.5","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067001500","CA","06067001500","=""06067001500""","18.4","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067001600","CA","06067001600","=""06067001600""","18.9","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067001700","CA","06067001700","=""06067001700""","20.8","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067001800","CA","06067001800","=""06067001800""","19.3","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067001900","CA","06067001900","=""06067001900""","20.6","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067002000","CA","06067002000","=""06067002000""","17.8","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067002100","CA","06067002100","=""06067002100""","17.9","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
